result_city,result_postcode,result_status,operator_name,2G,3G,4G
Alfortville,94140,ok,bouygues,1,1,1
Alfortville,94140,ok,free,0,1,1
Alfortville,94140,ok,sfr,1,1,1
Alixan,26300,ok,sfr,1,1,1
Alizay,27460,ok,bouygues,1,1,0
Alizay,27460,ok,bouygues,1,1,1
Alizay,27460,ok,sfr,1,1,0
Alizay,27460,ok,sfr,1,1,1
Allan,26780,ok,free,0,1,1
Allanche,15160,ok,free,0,1,1
Allanche,15160,ok,sfr,1,1,1
Allassac,19240,ok,bouygues,1,1,1
Allemond,38114,ok,free,0,1,1
Allerey,21230,ok,free,0,1,1
Alleyrat,23200,ok,sfr,1,1,0
Alloinay,79110,ok,sfr,1,1,1
Allonne,60000,ok,bouygues,1,1,1
Allouagne,62157,ok,bouygues,1,1,1
Alloue,16490,ok,orange,1,1,1
Alloue,16490,ok,sfr,1,1,1
Ally,15700,ok,free,0,1,1
Allègre,43270,ok,bouygues,1,1,1
Allègre,43270,ok,orange,1,1,1
Allègre-les-Fumades,30500,ok,bouygues,1,1,1
Alo,98610,ok,free,0,1,1
Alo,98610,ok,sfr,1,1,1
Alsting,57515,ok,orange,0,0,1
Alsting,57515,ok,orange,0,1,1
Altillac,19120,ok,orange,1,1,1
Alès,30100,ok,bouygues,1,1,1
Alès,30100,ok,free,0,1,1
Alès,30100,ok,orange,0,1,1
Alès,30100,ok,orange,1,1,0
Alès,30100,ok,orange,1,1,1
Alès,30100,ok,sfr,1,1,0
Alénya,66200,ok,free,0,1,1
Aléria,20270,ok,bouygues,1,1,1
Amancy,74800,ok,free,0,1,1
Amancy,74800,ok,orange,1,1,0
Amanvillers,57865,ok,bouygues,1,1,1
Amayé-sur-Orne,14210,ok,orange,1,0,0
Amayé-sur-Orne,14210,ok,sfr,1,1,0
Ambert,63600,ok,orange,0,1,0
Ambierle,42820,ok,bouygues,0,1,0
Ambillou,37340,ok,bouygues,1,1,1
Ambillou,37340,ok,free,0,1,1
Ambilly,74100,ok,sfr,1,1,1
Amblainville,60110,ok,bouygues,1,1,1
Ambleny,2290,ok,free,0,1,1
Ambleteuse,62164,ok,orange,1,1,0
Ambleville,95710,ok,sfr,1,1,1
Ambloy,41310,ok,orange,1,1,0
Amboise,37400,ok,free,0,1,1
Ambrières-les-Vallées,53300,ok,bouygues,1,1,1
Ambrières-les-Vallées,53300,ok,orange,0,1,0
Ambronay,1500,ok,bouygues,1,1,1
Ambronay,1500,ok,sfr,1,1,1
Ambès,33810,ok,bouygues,1,1,1
Ambérieu-en-Bugey,1500,ok,orange,1,0,0
Ambérieu-en-Bugey,1500,ok,sfr,1,1,1
Ambérieux-en-Dombes,1330,ok,bouygues,1,1,1
Ames,62190,ok,bouygues,1,1,1
Amfreville-la-Mi-Voie,76920,ok,free,0,1,0
Amfreville-la-Mi-Voie,76920,ok,orange,1,1,1
Amfreville-la-Mi-Voie,76920,ok,sfr,0,1,0
Amiens,80000,ok,bouygues,1,0,0
Amiens,80000,ok,bouygues,1,1,0
Amiens,80000,ok,free,0,1,1
Amiens,80000,ok,orange,0,0,0
Amiens,80000,ok,orange,0,1,0
Amiens,80090,ok,bouygues,1,0,0
Amiens,80090,ok,bouygues,1,1,0
Amiens,80090,ok,bouygues,1,1,1
Amiens,80090,ok,free,0,1,0
Amiens,80090,ok,free,0,1,1
Amiens,80090,ok,orange,0,1,0
Amiens,80090,ok,orange,0,1,1
Amiens,80090,ok,orange,1,0,0
Amiens,80090,ok,orange,1,1,0
Amiens,80090,ok,orange,1,1,1
Amiens,80090,ok,sfr,1,1,0
Amiens,80090,ok,sfr,1,1,1
Amillis,77120,ok,orange,1,1,0
Amilly,28300,ok,free,0,1,0
Amilly,45200,ok,bouygues,1,1,1
Amilly,45200,ok,free,0,1,1
Amilly,45200,ok,orange,1,1,0
Amilly,45200,ok,orange,1,1,1
Ammerschwihr,68410,ok,sfr,1,1,0
Ammerschwihr,68770,ok,bouygues,1,0,0
Ammerschwihr,68770,ok,free,0,1,1
Ampuis,69420,ok,orange,1,1,1
Ampus,83111,ok,orange,1,1,1
Ampus,83111,ok,sfr,1,1,1
Anché,86700,ok,bouygues,1,1,1
Anché,86700,ok,sfr,1,1,1
Ancizan,65440,ok,free,0,1,1
Ancizan,65440,ok,orange,0,1,0
Ancizan,65440,ok,orange,1,1,1
Ancy-Dornot,57130,ok,free,0,1,1
Ancône,26200,ok,free,0,1,1
Ancône,26200,ok,orange,1,1,1
Ancône,26200,ok,sfr,1,1,0
Andel,22400,ok,bouygues,1,1,1
Andel,22400,ok,sfr,1,1,1
Andeville,60570,ok,sfr,1,1,1
Andilly,17230,ok,orange,1,0,0
Andolsheim,68280,ok,orange,1,1,0
Andolsheim,68280,ok,orange,1,1,1
Andolsheim,68280,ok,sfr,1,1,1
Andres,62340,ok,free,0,1,1
Andrésy,78570,ok,orange,0,0,0
Andrézieux-Bouthéon,42160,ok,bouygues,1,1,1
Andrézieux-Bouthéon,42160,ok,orange,1,1,0
Andrézieux-Bouthéon,42160,ok,orange,1,1,1
Anduze,30140,ok,sfr,1,1,1
Andé,27430,ok,orange,1,1,1
Anet,28260,ok,bouygues,1,1,1
Anet,28260,ok,sfr,1,1,1
Angers,49000,ok,orange,1,1,0
Angers,49000,ok,orange,1,1,1
Angers,49100,ok,bouygues,1,1,1
Angers,49100,ok,free,0,1,0
Angers,49100,ok,orange,1,1,0
Angers,49100,ok,sfr,1,1,0
Angers,49100,ok,sfr,1,1,1
Angerville,91670,ok,orange,0,1,0
Angerville,91670,ok,sfr,1,1,1
Anglards-de-Salers,15380,ok,bouygues,1,1,1
Anglards-de-Salers,15380,ok,sfr,1,1,1
Angles,85750,ok,orange,0,1,0
Anglet,64600,ok,bouygues,1,1,1
Anglet,64600,ok,sfr,1,1,1
Anglure,51260,ok,bouygues,1,1,1
Anglure,51260,ok,sfr,1,1,1
Angoulins,17690,ok,sfr,1,1,1
Angoulême,16000,ok,bouygues,0,1,1
Angoulême,16000,ok,free,0,1,1
Angoulême,16000,ok,orange,1,1,1
Angres,62143,ok,bouygues,1,1,0
Angres,62143,ok,bouygues,1,1,1
Angres,62143,ok,free,0,1,0
Angres,62143,ok,free,0,1,1
Angres,62143,ok,orange,0,0,0
Angres,62143,ok,orange,0,1,0
Angres,62143,ok,orange,0,1,1
Angres,62143,ok,orange,1,1,0
Angres,62143,ok,orange,1,1,1
Angres,62143,ok,sfr,0,0,1
Angres,62143,ok,sfr,0,1,0
Angres,62143,ok,sfr,1,1,0
Angres,62143,ok,sfr,1,1,1
Angresse,40150,ok,sfr,0,1,1
Aniche,59580,ok,orange,1,1,1
Aniche,59580,ok,sfr,1,1,0
Annay,62880,ok,bouygues,1,0,0
Annay,62880,ok,bouygues,1,1,0
Annay,62880,ok,bouygues,1,1,1
Annay,62880,ok,free,0,1,0
Annay,62880,ok,free,0,1,1
Annay,62880,ok,orange,0,0,0
Annay,62880,ok,orange,0,1,0
Annay,62880,ok,orange,0,1,1
Annay,62880,ok,orange,1,1,0
Annay,62880,ok,orange,1,1,1
Annay,62880,ok,sfr,0,0,1
Annay,62880,ok,sfr,0,1,0
Annay,62880,ok,sfr,1,1,0
Annay,62880,ok,sfr,1,1,1
Annecy,74000,ok,bouygues,1,1,0
Annecy,74000,ok,bouygues,1,1,1
Annecy,74000,ok,sfr,1,1,0
Annecy,74370,ok,bouygues,1,1,1
Annecy,74370,ok,orange,1,0,0
Annecy,74370,ok,orange,1,1,1
Annecy,74370,ok,sfr,1,1,1
Annecy,74600,ok,bouygues,1,0,0
Annecy,74600,ok,bouygues,1,1,0
Annecy,74600,ok,bouygues,1,1,1
Annecy,74600,ok,free,0,1,0
Annecy,74600,ok,free,0,1,1
Annecy,74600,ok,orange,0,0,0
Annecy,74600,ok,orange,0,0,1
Annecy,74600,ok,orange,0,1,0
Annecy,74600,ok,orange,0,1,1
Annecy,74600,ok,orange,1,1,0
Annecy,74600,ok,orange,1,1,1
Annecy,74600,ok,sfr,0,1,0
Annecy,74600,ok,sfr,0,1,1
Annecy,74600,ok,sfr,1,1,0
Annecy,74600,ok,sfr,1,1,1
Annecy,74940,ok,bouygues,1,1,0
Annecy,74940,ok,bouygues,1,1,1
Annecy,74940,ok,free,0,1,1
Annecy,74940,ok,orange,1,1,0
Annecy,74940,ok,orange,1,1,1
Annecy,74940,ok,sfr,1,1,0
Annecy,74940,ok,sfr,1,1,1
Annecy,74960,ok,bouygues,1,1,1
Annecy,74960,ok,orange,1,1,1
Annecy,74960,ok,sfr,1,0,0
Annecy,74960,ok,sfr,1,1,1
Annemasse,74100,ok,bouygues,1,1,1
Annemasse,74100,ok,orange,0,1,1
Annequin,62149,ok,orange,1,1,0
Annequin,62149,ok,orange,1,1,1
Annonay,7100,ok,sfr,1,1,1
Annœullin,59112,ok,bouygues,1,1,1
Annœullin,59112,ok,orange,1,1,1
Anor,59186,ok,orange,1,1,1
Anost,71550,ok,bouygues,1,1,0
Anould,88650,ok,bouygues,1,1,0
Anould,88650,ok,orange,1,1,1
Anould,88650,ok,sfr,0,1,0
Anse-Bertrand,97121,ok,bouygues,1,1,1
Ansouis,84240,ok,bouygues,1,0,0
Antibes,6600,ok,bouygues,0,1,0
Antibes,6600,ok,bouygues,0,1,1
Antibes,6600,ok,bouygues,1,0,0
Antibes,6600,ok,bouygues,1,0,1
Antibes,6600,ok,bouygues,1,1,0
Antibes,6600,ok,bouygues,1,1,1
Antibes,6600,ok,free,0,1,0
Antibes,6600,ok,free,0,1,1
Antibes,6600,ok,orange,0,0,0
Antibes,6600,ok,orange,0,0,1
Antibes,6600,ok,orange,0,1,0
Antibes,6600,ok,orange,0,1,1
Antibes,6600,ok,orange,1,0,0
Antibes,6600,ok,orange,1,1,0
Antibes,6600,ok,orange,1,1,1
Antibes,6600,ok,sfr,0,0,1
Antibes,6600,ok,sfr,0,1,0
Antibes,6600,ok,sfr,0,1,1
Antibes,6600,ok,sfr,1,0,0
Antibes,6600,ok,sfr,1,0,1
Antibes,6600,ok,sfr,1,1,0
Antibes,6600,ok,sfr,1,1,1
Antonne-et-Trigonant,24420,ok,orange,0,0,0
Antony,92160,ok,free,0,1,0
Antran,86100,ok,sfr,1,1,0
Anvéville,76560,ok,sfr,1,1,1
Any-Martin-Rieux,2500,ok,orange,0,1,0
Anzin,59410,ok,free,0,1,1
Anzin,59410,ok,orange,1,1,0
Anzin,59410,ok,sfr,1,1,1
Anzême,23000,ok,sfr,1,1,1
Aoste,38490,ok,free,0,1,0
Aoste,38490,ok,sfr,1,1,1
Apatou,97317,ok,bouygues,1,1,1
Apatou,97317,ok,free,0,1,1
Apatou,97317,ok,orange,0,1,0
Apatou,97317,ok,orange,0,1,1
Apatou,97317,ok,orange,1,1,0
Apatou,97317,ok,orange,1,1,1
Apinac,42550,ok,orange,1,1,1
Apt,84400,ok,bouygues,1,1,1
Aranc,1110,ok,free,0,1,1
Araules,43200,ok,bouygues,1,1,1
Araules,43200,ok,sfr,1,1,1
Arbois,39600,ok,sfr,1,1,1
Arc-et-Senans,25610,ok,bouygues,1,1,1
Arc-et-Senans,25610,ok,sfr,1,1,1
Arcachon,33120,ok,bouygues,1,0,0
Arcachon,33120,ok,bouygues,1,1,1
Arcachon,33120,ok,free,0,1,0
Arcachon,33120,ok,free,0,1,1
